<UNK>	<UNK>
What is the management strategy for symptomatic bradycardia?	Symptomatic bradycardia is managed with IV atropine.
What type of aortic valve abnormality is commonly associated with symptomatic aortic stenosis in patients around age 50?	Symptomatic aortic stenosis may present in patients around age 50 with a bicuspid aortic valve.
What is the effect of sympathetic stimulation of β2 receptors in skeletal muscle?	Sympathetic stimulation of β2 receptors in skeletal muscle causes vasodilation.
What is the effect of sympathetic stimulation of α1 receptors in skeletal muscle?	Sympathetic stimulation of α1 receptors in skeletal muscle causes vasoconstriction.
What is the mechanism by which sympathetic stimulation increases the activity of Ca2+ ATPase (SERCA)?	Sympathetic stimulation increases the activity of Ca2+ ATPase (SERCA) via phosphorylation/inhibition of phospholamban.
Through which receptors does sympathetic stimulation increase myocardial contractility?	Sympathetic stimulation increases myocardial contractility via β1 receptors.
What are the possible presentations of sympathetic ophthalmia?	Sympathetic ophthalmia may present as unilateral or bilateral granulomatous anterior uveitis.
What is the difference in length between pre-ganglionic and post-ganglionic neurons in the sympathetic nervous system?	Sympathetic neurons have short pre-ganglionic and long post-ganglionic neurons.
What nerves do sympathetic fibers from the superior cervical ganglion use to innervate the pupillary dilator muscle?	Sympathetic fibers from the superior cervical ganglion innervate the pupillary dilator muscle via long ciliary nerves.
What condition is characterized by symmetric distal sensory loss or burning sensation associated with motor weakness?	Symmetric distal sensory loss or burning sensation associated with motor weakness is characteristic of polyneuropathy.
What type of back pain is characterized by symmetric aching in a belt-like distribution?	Symmetric aching in a belt-like distribution is characteristic of musculoskeletal (MSK) back pain.
What medical condition may be indicated by the presence of swollen posterior cervical lymph nodes, swollen spleen, and pharyngitis?	Swollen posterior cervical lymph nodes, swollen spleen, and pharyngitis may indicate mononucleosis (EBV).
What type of volume contraction is caused by sweating in a desert?	Sweating in a desert causes hyper-osmotic volume contraction.
What is the management approach for swallowing a battery, magnet, or sharp item?	Swallowing a battery, magnet, or sharp item is managed with endoscopic removal.
What is the management approach for swallowing more than two magnets in the esophagus or stomach?	Swallowing more than two magnets in the esophagus or stomach is managed with endoscopic removal.
What are the common malignancies that can cause SVC syndrome?	SVC syndrome is commonly caused by malignancy, such as mediastinal mass and superior sulcus tumor.
What is the clinical manifestation of SVC syndrome related to the neck?	SVC syndrome is characterized by impaired drainage of the neck, resulting in jugular venous distention.
What is the clinical manifestation of SVC syndrome related to the head?	SVC syndrome is characterized by impaired drainage of the head, resulting in "facial plethora".
What are the potential neurological symptoms associated with severe cases of SVC syndrome?	SVC syndrome can raise intracranial pressure (if obstruction is severe), leading to headaches and dizziness.
What is a common cause of SVC syndrome related to central venous catheters?	SVC syndrome can be caused by thromboemboli from indwelling central venous catheters.
In which patient population is the use of Suvorexant not recommended?	Suvorexant is not recommended in patients with liver disease.
What is the medical condition in which the use of Suvorexant is contraindicated?	Suvorexant is contraindicated in patients with narcolepsy.
What type of medication should be avoided in patients taking strong CYP3A4 inhibitors?	Suvorexant is contraindicated in patients taking strong CYP3A4 inhibitors.
What is the recommended method of evaluation for suspicious thyroid nodules that are cold and growing?	Suspicious thyroid nodules (cold, growing) should be evaluated with FNA (fine needle aspiration).
What is the recommended diagnostic test for suspected pneumonia?	Suspected pneumonia is typically diagnosed with an X-ray.
What is the recommended management strategy for suspected pleural effusion?	Suspected pleural effusion is typically managed with diagnostic thoracocentesis.
What is the recommended management strategy for suspected duodenal ulcer?	Suspected duodenal ulcer is typically managed with proton pump inhibitors (PPIs) and antibiotics.
What is the recommended diagnostic test for suspected constitutional growth delay?	Suspected constitutional growth delay is typically diagnosed with a bone age assessment.
What is the recommended treatment for suspected acute megacolon with cecal dilation to 12 cm or signs of ischemia?	Suspected acute megacolon with cecal dilation to 12 cm or signs of ischemia is typically treated with laparotomy.
What laboratory test should be obtained if intrahepatic cholestasis of pregnancy is suspected?	If intrahepatic cholestasis of pregnancy is suspected, serum bile acid levels should be obtained.
What is the surgical management for primary hyperparathyroidism due to four gland hyperplasia?	The surgical management for primary hyperparathyroidism due to four gland hyperplasia is to remove 3.5 glands.
What is the contraindication for surgical ligation of a patent ductus arteriosus?	Surgical ligation of a patent ductus arteriosus is contraindicated when there is severe pulmonary hypertension.
What type of tissues is important to surgically excise in the treatment of Mucormycosis?	Surgical excision of necrotic tissues is an important step in the treatment of Mucormycosis.
What should be accompanied with surgical abortion to prevent infection?	Surgical abortion should be accompanied with antibiotics to prevent infection.
What medical condition may be precipitated by surgery, infection, trauma, childbirth, and acute iodine load in patients with hyperthyroidism?	Thyroid storm may be precipitated by surgery, infection, trauma, childbirth, and acute iodine load in patients with hyperthyroidism.
What are some common causes of ileus?	Surgery, diabetes, drugs, and sepsis are common causes of ileus.
What intermolecular forces are disrupted by surfactant to reduce surface tension?	Surfactant reduces surface tension by disrupting the intermolecular forces between liquid molecules.
How does surfactant prevent collapse of alveolar air sacs after expiration?	Surfactant decreases surface tension in the lung, preventing collapse of alveolar air sacs after expiration.
What is another name for surface alveolar growth?	Surface alveolar growth is also known as lepidic growth pattern.
What type of injury to the arm/elbow most often leads to supracondylar fractures?	Supracondylar fractures most often occur after hyperextension injuries of the arm/elbow.
What type of supplementation has been shown to improve premenstrual syndrome?	Supplementation with calcium (Ca2+) has been shown to improve premenstrual syndrome.
What are the layers of the skin involved in superficial partial thickness burns?	Superficial partial thickness burns involve the epidermis and the superficial dermis layers of the skin.
What is the typical skin reaction to a superficial partial thickness burn?	A superficial partial thickness burn typically causes the skin to blister.
What are the characteristics of superficial partial thickness burns?	Superficial partial thickness burns are typically blanchable, meaning the skin turns white when pressure is applied, and painful.
Which layer of the skin is involved in superficial burns?	Superficial burns involve only the epidermis layer of the skin.
What are the characteristics of superficial burns?	Superficial burns are typically blanchable, meaning the skin turns white when pressure is applied, and painful.
What degree of burns are classified as superficial burns?	Superficial burns are classified as 1st degree burns.
What syndrome can result from the presence of superantigens?	Superantigens can result in toxic shock syndrome.
What happens when superantigens result in a large release of cytokines?	When superantigens result in a large release of cytokines, it can lead to massive vasodilation/hypotension and shock.
What type of activation do superantigens cause in the body?	Superantigens are exotoxins that cause a massive amount of T-cell activation.
What type of cancer, characterized by VEGFR overexpression, can be treated with Sunitinib and Sorafenib?	Sunitinib and Sorafenib can treat cancer characterized by VEGFR overexpression, such as renal cell carcinoma.
What are the adverse effects associated with Sunitinib and Sorafenib?	Sunitinib and Sorafenib are associated with cutaneous hyperkeratosis and skin rashes.
What is the increased risk associated with Sunitinib and Sorafenib use?	Sunitinib and Sorafenib use is associated with an increased risk of hemorrhage.
How do sulfur granules of Actinomyces stain on H&E stain?	Sulfur granules of Actinomyces stain basophilic on H&E stain.
What is a significant possible side effect of sulfonylureas?	A significant possible side effect of sulfonylureas is hypoglycemia.
What type of drugs are sulfonylureas and how may they affect allergic patients?	Sulfonylureas are sulfa drugs and may cause adverse reactions in allergic patients.
What is a possible side effect of sulfonylureas and meglitinides?	A possible side effect of sulfonylureas and meglitinides is weight gain.
What is a significant possible side effect of sulfonylureas and meglitinides?	A significant possible side effect of sulfonylureas and meglitinides is hypoglycemia.
What are some agents that can cause renal failure by precipitating in renal tubules?	Sulfonamides, methotrexate, IV acyclovir, and triameterene are agents that can precipitate in renal tubules, causing renal failure.
What is the effect of sulfonamides on cytochrome P450?	Sulfonamides inhibit cytochrome P450.
What is the potential risk associated with taking sulfonamides and Warfarin together?	Sulfonamides increase the risk of bleeding when taken along with Warfarin.
What is the potential risk associated with sulfonamides in neonates?	Sulfonamides displace unconjugated bilirubin from albumin; can precipitate kernicterus in neonates.
What is the mechanism by which sulfonamides can cause kidney damage?	Sulfonamides can cause kidney damage by causing tubulointerstitial nephritis.
What is the potential skin sensitivity associated with sulfonamides?	Sulfonamides can cause skin sensitivity to light.
What is the potential thyroid-related side effect associated with sulfonamides?	Sulfonamides can cause hypothyroidism.
What type of Renal Tubular Acidosis can sulfonamides cause?	Sulfonamides can cause a Type IV Renal Tubular Acidosis.
What is the mechanism of action of sulfonamides as inhibitors of an enzyme?	Sulfonamides are competitive inhibitors of the enzyme Dihydropteroate Synthase.
What is the effect of sulfonamides on CYP-450?	Sulfonamides are inhibitors of CYP-450.
What is the effect of sulfonamides on cytochrome p450?	Sulfonamides are cytochrome p450 inhibitors.
In which patients are sulfonamides contraindicated due to enzyme deficiency?	Sulfonamides are contraindicated in patients with a deficiency of the enzyme Glucose-6-Phosphate Dehydrogenase.
Against which gram-positive branching, filamentous rod do sulfonamides (e.g. sulfamethoxazole) have activity?	Sulfonamides (e.g. sulfamethoxazole) have activity against the gram-positive branching, filamentous rod Nocardia.
What is the enzyme responsible for converting sulfatides to galactocerebroside?	The enzyme responsible for converting sulfatides to galactocerebroside is arylsulfatase A.
What is the primary medical condition for which sulfasalazine is indicated as an anti-inflammatory therapy?	Sulfasalazine is primarily indicated as an anti-inflammatory therapy for Rheumatoid Arthritis.
What activates sulfasalazine?	Sulfasalazine is activated by colonic bacteria.
What are the components of sulfasalazine and why is it contraindicated in patients with certain allergies?	Sulfasalazine is a combination of Mesalamine (anti-inflammatory) and Sulfapyridine (anti-bacterial), and thus is contraindicated in patients with sulfa allergies.
What potential side effect can sulfasalazine cause, and is it reversible?	Sulfasalazine can cause a reversible oligospermia.
In what type of patients can sulfasalazine cause hemolytic anemia?	Sulfasalazine can cause a hemolytic anemia in patients with G6PD deficiency.
What type of bacteria is sulfamethoxazole effective against, including highly resistant strains such as MRSA?	Sulfamethoxazole has activity against gram positive bacteria, even the highly resistant MRSA.
What type of analog is sulfamethoxazole (SMX), and which enzyme does it inhibit?	Sulfamethoxazole (SMX) is a PABA analog, thus inhibiting the enzyme dihydropteroate synthase.
What type of drug-induced condition can sulfa drugs cause?	Sulfa drugs can cause a drug-induced lupus.
What rare cutaneous skin complication is associated with sulfa drugs?	Sulfa drugs are associated with the rare cutaneous skin complication Stevens-Johnson syndrome.
In what medical condition may sulcal effacement be seen on CT/MRI imaging?	Sulcal effacement may be seen on CT/MRI imaging of intracranial hypertension.
What medical condition is suggested by sudden-onset unilateral lower abdominal pain after strenuous activity with pelvic free fluid?	Sudden-onset unilateral lower abdominal pain after strenuous activity with pelvic free fluid is suggestive of ruptured ovarian cyst.
What medical conditions are associated with sudden-onset psoriasis?	Sudden-onset psoriasis is associated with HIV and streptococcal pharyngitis.
What condition is suggested by sudden onset pain with pain out of proportion (POOP) and possibly bloody stool?	Sudden onset pain with pain out of proportion (POOP) and possibly bloody stool is suggestive of ischemic condition.
What can sudden onset hydronephrosis cause in the kidney?	Sudden onset hydronephrosis may cause renal papillary necrosis.
What condition is suggested by sudden onset abdominal pain and patient being motionless?	Sudden onset abdominal pain and patient being motionless is suggestive of perforation.
How can sudden extremely loud noises cause hearing loss?	Sudden extremely loud noises can cause hearing loss due to tympanic membrane rupture (noise-induced hearing loss).
What type of symptoms can sudden discontinuation of SSRIs or SNRIs cause?	Sudden discontinuation of SSRIs or SNRIs can cause flu-like symptoms.
What medical device may prevent sudden cardiac death?	Sudden cardiac death may be prevented with an implantable cardioverter-defibrillator (ICD).
What is the most common cause of sudden cardiac death?	Sudden cardiac death is most commonly due to a lethal arrhythmia, such as ventricular fibrillation.
What are the products of the digestion of sucrose by sucrase?	Sucrose is digested by sucrase into glucose and fructose.
What type of receptors does succinylcholine bind to, and what effect does this have on ion flow?	Succinylcholine binds to post-synaptic ACh receptors, triggering an influx of Na+ and efflux of K+ (depolarization).
What is the mechanism of action of succinylcholine and what effect does it have on muscle function?	Succinylcholine is a strong ACh receptor agonist that produces sustained depolarization and prevents muscle contraction.
What is the product of the conversion of succinyl CoA, and which enzyme catalyzes this reaction?	Succinyl CoA is converted to succinate via the enzyme succinyl CoA synthetase.
What is the product of the conversion of succinate, and which enzyme catalyzes this reaction?	Succinate is converted to fumarate via the enzyme succinate dehydrogenase.
What are the potential symptoms associated with submucosal leiomyomas (fibroids)?	Submucosal leiomyomas (fibroids) may cause infertility and menorrhagia (heavy menstrual bleeding).
What is the likely diagnosis of a submucosal gastrointestinal (GI) mass that is positive for c-KIT?	A submucosal gastrointestinal (GI) mass that is positive for c-KIT is likely to be a gastrointestinal stromal tumor (GIST).
In the case of subluxation of the radial head, where does the annular ligament slip over and into?	In the case of subluxation of the radial head, the annular ligament slips over and into the radiocapitellar joint.
What are the possible causes of a subhepatic abscess?	A subhepatic abscess may result from a perforated duodenal or gastric ulcer.
What is the cause of subgaleal hemorrhage?	Subgaleal hemorrhage is caused by injury to the emissary veins.
What is the function of subendothelial collagen and glycosaminoglycans in relation to atherosclerotic plaques?	Subendothelial collagen and glycosaminoglycans form the subendothelial fibrous cap over an atherosclerotic plaque and are potent platelet activators.
What condition can subendocardial vacuolization and patchy fibrosis due to severe coronary artery disease cause?	Subendocardial vacuolization and patchy fibrosis due to severe coronary artery disease may cause chronic ischemic heart disease.
What is the cause of subdural hematoma?	Subdural hematoma occurs due to tearing of bridging veins.
Which groups of people are most commonly affected by subdural hematoma?	Subdural hematoma is most commonly seen among elderly alcoholics and infants (shaken baby).
What type of subcutaneous swelling is diagnostic of Loa loa helminth infection?	Subcutaneous, 'Calabar' swellings are diagnostic of the helminth Loa loa.
What is the mechanism behind retrograde blood flow in subclavian steal syndrome?	Subclavian steal syndrome occurs when the subclavian artery is occluded, leading to retrograde flow from the vertebral artery.
What is the effect of subclavian steal syndrome on the brachial systolic blood pressure in the affected arm?	Subclavian steal syndrome is associated with a significantly lower brachial systolic blood pressure in the affected arm.
What are the radiological findings that suggest the presence of rheumatoid arthritis?	Subchondral cysts, periarticular osteopenia and joint margin erosions on X-ray is suggestive of rheumatoid arthritis.
What is the significance of subareolar mass and nipple retraction in smokers?	Subareolar mass and nipple retraction in smokers is suggestive of periductal mastitis.
What are the common symptoms associated with subarachnoid hemorrhage?	Subarachnoid hemorrhage presents with sudden headache and nuchal rigidity.
What is one of the potential symptoms that may be caused by subarachnoid hemorrhage?	Subarachnoid hemorrhage may cause photophobia (fear of light).
What are the potential complications associated with subarachnoid hemorrhage?	Subarachnoid hemorrhage is associated with increased risk of developing communicating high pressure and/or obstructive hydrocephalus.
How is subacute sclerosing panencephalitis diagnosed?	Subacute sclerosing panencephalitis is diagnosed with the presence of anti-measles antibodies in CSF.
What are the initial and subsequent states of presentation in subacute granulomatous thyroiditis (de Quervain)?	Subacute granulomatous thyroiditis (de Quervain) may initially present with hyperthyroidism, which typically is followed by a brief hypothyroid state.
What is the cause of subacute granulomatous thyroiditis (de Quervain) and is it a self-limited disease?	Subacute granulomatous thyroiditis (de Quervain) is often caused by viral infection and is a self-limited disease.
What is the common cause of subacute endocarditis and what procedures can lead to it?	Subacute endocarditis is often caused by bacterial infection and is a sequela of dental procedures.
What is subacute combined degeneration and which tracts are affected by demyelination in this condition?	Subacute combined degeneration is a neurological condition characterized by demyelination of spinocerebellar tracts, lateral corticospinal tracts, and dorsal columns.
What type of bacterial infection is typically indicated by subacute bacterial endocarditis following a dental procedure?	Subacute bacterial endocarditis following a dental procedure likely indicates an infection from the viridans group streptococci bacteria.
What condition is suggested by subacute appendicitis lasting for more than five days?	Subacute appendicitis lasting for more than five days is suggestive of an appendiceal abscess.
What is the potential cause of sudden-onset seizures and acute hemiparesis in individuals with Sturge-Weber syndrome?	Individuals with Sturge-Weber syndrome may present with sudden-onset seizures and acute hemiparesis due to contralateral leptomeningeal angiomas.
What is Sturge-Weber syndrome and what is its potential cause?	Sturge-Weber syndrome is a developmental anomaly of neural crest derivatives that is potentially caused by somatic mosaicism.
What type of blood vessels are affected by Sturge-Weber syndrome?	Sturge-Weber syndrome affects small, capillary-sized blood vessels.
How is struvite stone managed?	Struvite stone is managed with stone removal.
Which structures are included in the limbic system?	The structures included in the limbic system are the hippocampus, amygdala, fornix, mammillary bodies, and cingulate gyrus.
What are the treatment options for Strongyloides stercoralis infection?	The treatment options for Strongyloides stercoralis infection are albendazole or ivermectin.
What is the strongest risk factor that predicts suicide?	The strongest risk factor that predicts suicide is a prior suicide attempt.
What is the strongest risk factor for developing gastric cancer?	The strongest risk factor for developing gastric cancer is H. Pylori infection.
Which artery forms strong anastomoses with the left gastroepiploic artery?	The right gastroepiploic artery forms strong anastomoses with the left gastroepiploic artery.
Which artery forms strong anastomoses with the left gastric artery?	The right gastric artery forms strong anastomoses with the left gastric artery.
Which cerebral artery is involved in strokes that may cause hemineglect if in the non-dominant hemisphere?	Strokes involving the middle cerebral artery may cause hemineglect if in the non-dominant hemisphere.
Which cerebral artery is involved in strokes that may cause aphasia if in the dominant hemisphere?	Strokes involving the middle cerebral artery may cause aphasia if in the dominant hemisphere.
Which cerebral artery is involved in strokes that may cause paralysis and sensory loss of the contra-lateral lower limb?	Strokes involving the anterior cerebral artery may cause paralysis and sensory loss of the contra-lateral lower limb.
Which brain structures are typically involved in strokes involving the lenticulostriate artery?	Strokes involving the lenticulostriate artery typically involve the striatum and internal capsule.
What are the potential effects of strokes involving the lenticulostriate artery on the body?	Strokes involving the lenticulostriate artery may cause paralysis and sensory loss of the contra-lateral entire body.
What medical conditions or events may cause SIADH?	Stroke, meningitis, surgery, ectopic-producing tumor, and head trauma may cause SIADH.
What diagnostic imaging technique is typically used to manage stroke and exclude hemorrhage before administering tPA?	Noncontrast CT is typically used to manage stroke and exclude hemorrhage before administering tPA.
What are the benign and malignant tumors that can arise from striated muscle?	Striated muscle can give rise to a rhabdomyoma (benign) and rhabdomyosarcoma (malignant).
What are the two conditions that stress urinary incontinence is often associated with?	Stress urinary incontinence is often associated with urethral hyper-mobility or decreased urethral sphincter tone.
What is the condition that stress urinary incontinence is often associated with, which refers to excessive movement of the urethra?	Stress urinary incontinence is often associated with urethral hyper-mobility.
What are the weight conditions associated with stress fractures and shin splints, respectively?	Stress fracture is associated with underweight individuals, while shin splints are associated with overweight individuals.
What are the two hormones that are secreted in response to stress, especially when insulin is not present?	The two hormones that are secreted in response to stress, particularly in the absence of insulin, are epinephrine and cortisol.
What is the bacterial cause of tularemia that is treated by the aminoglycoside antibiotic, streptomycin?	Streptomycin is an aminoglycoside antibiotic that treats tularemia caused by the bacterium Francisella tularensis.
What type of drug is streptomycin in the treatment of tuberculosis, and where does it fall in the treatment hierarchy?	Streptomycin is an aminoglycoside antibiotic that is classified as a second-line drug in the treatment of tuberculosis.
What are the two notable toxicities associated with the use of streptomycin?	The use of streptomycin is associated with notable CNS (central nervous system) toxicity and nephrotoxicity (kidney toxicity).
What zoonotic infection can be treated with streptomycin?	Streptomycin can also be used to treat tularemia, a zoonotic infection caused by Francisella tularensis.
Which gram-positive species is Streptokinase a virulence factor for?	Streptokinase is a virulence factor for Group A Streptococcus (GAS).
Which species of Streptococcus is optochin sensitive?	Streptococcus pneumoniae is optochin sensitive.
Which species of Streptococcus can cause bacteremia and subacute endocarditis, and is also associated with colon cancer?	Streptococcus gallolyticus can cause bacteremia and subacute endocarditis, and is also associated with colon cancer.
What type of hemolysis is associated with Streptococcus viridans?	Streptococcus viridans is alpha-hemolytic.
Is Streptococcus viridans optochin sensitive or resistant?	Streptococcus viridans is optochin resistant.
Is Streptococcus viridans bile soluble or insoluble?	Streptococcus viridans is bile insoluble.
What is the name of the superficial skin infection caused by Streptococcus pyogenes?	The superficial skin infection caused by Streptococcus pyogenes is called erysipelas.
What is the name of the deep skin infection caused by Streptococcus pyogenes?	The deep skin infection caused by Streptococcus pyogenes is called cellulitis.
What is the name of the skin condition characterized by "honeycomb-like" crusts on the skin caused by Streptococcus pyogenes?	The skin condition characterized by "honeycomb-like" crusts on the skin caused by Streptococcus pyogenes is called non bullous impetigo.
What is another name for Streptococcus pyogenes?	Streptococcus pyogenes is also known as group A strep (GAS).
What is the result of the pyrrolidonyl arylamidase (PYR) test for Streptococcus pyogenes (GAS)?	The result of the PYR test for Streptococcus pyogenes (GAS) is positive.
Besides Rheumatic Fever, what is another potential complication that can result from Streptococcus pyogenes (GAS) infection?	Another potential complication that can result from Streptococcus pyogenes (GAS) infection is Post-Streptococcal Glomerulonephritis (PSGN).
What are the two virulence factors of Streptococcus pneumoniae?	The two virulence factors of Streptococcus pneumoniae are an anti-phagocytic polysaccharide capsule and IgA protease.
What type of hemolysis does Streptococcus pneumoniae exhibit?	Streptococcus pneumoniae exhibits alpha-hemolysis.
What is the characteristic feature of Streptococcus pneumoniae in terms of bile solubility?	Streptococcus pneumoniae is bile soluble.
What is the characteristic feature of Streptococcus gallolyticus in terms of pyrrolidonyl arylamidase (PYR) activity?	Streptococcus gallolyticus is pyrrolidonyl arylamidase (PYR) negative.
What is another name for Streptococcus bovis biotype 1?	Streptococcus bovis biotype 1 is known as Streptococcus gallolyticus.
What medical condition is associated with both Streptococcus bovis and Clostridia septicum?	Streptococcus bovis and Clostridia septicum are associated with colon cancer.
What is the neonatal respiratory complication associated with Streptococcus agalactiae (GBS) infection?	Neonatal pneumonia is the respiratory complication associated with Streptococcus agalactiae (GBS) infection.
What type of hemolysis is associated with Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) is β-hemolytic.
What is the result of the pyrrolidonyl arylamidase (PYR) test for Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) is pyrrolidonyl arylamidase (PYR) negative.
What is the result of the hippurate hydrolysis test for Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) is hippurate positive.
What is the Gram stain result for Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) is gram positive.
What is the result of the catalase test for Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) is catalase negative.
What is the susceptibility of Streptococcus agalactiae (GBS) to bacitracin?	Streptococcus agalactiae (GBS) is bacitracin resistant.
What are some diseases caused by Streptococcus agalactiae (GBS)?	Streptococcus agalactiae (GBS) causes neonatal meningitis, sepsis, and pneumonia.
What are the typical symptoms of Strep. pyogenes (group A) pharyngitis?	Strep. pyogenes (group A) pharyngitis typically presents with a positive fever, negative cough, and negative rhinorrhea.
What are some bacteria that share the same virulence factor as Strep pneumoniae?	Strep pneumoniae shares the same virulence factor as H. influenzae type b and Neisseria.
What type of immune response does the Strep pneumoniae polysaccharide vaccine produce in adults?	The Strep pneumoniae polysaccharide vaccine in adults produces an IgM response.
Why will Strep pneumoniae present a problem in sickle cell/asplenic patients?	Strep pneumoniae is encapsulated, which means it will present a problem in sickle cell/asplenic patients.
What does Strep pneumoniae contain that allows it to adhere and colonize the mucous membranes?	Strep pneumoniae contains IgA protease, which allows the bacteria to adhere and colonize the mucous membranes.
What type of immune response does the Strep pneumoniae conjugate vaccine produce in children?	The Strep pneumoniae conjugate vaccine produces an IgG response in children.
What type of immune response does the Strep pneumoniae conjugate vaccine produce in children?	The Strep pneumoniae conjugate vaccine produces an IgG response in children.
What condition is suggested by strabismus or congenital cataracts leading to cortical blindness?	Strabismus or congenital cataracts leading to cortical blindness is suggestive of amblyopia.
What type of eye drops, used for penalization, may be used to treat strabismus?	Cycloplegic eye drops, such as cyclopentolate, may be used for penalization to treat strabismus.
What type of agents are stool softeners, and how do they facilitate the penetration of stool?	Stool softeners are surfactant agents that facilitate the penetration of stool by water and lipids.
What inhibits the stimulation of the lateral area of the hypothalamus?	Leptin inhibits the stimulation of the lateral area of the hypothalamus.
What physiological responses result from the stimulation of hypothalamic osmoreceptors?	Stimulation of hypothalamic osmoreceptors results in the stimulation of thirst and secretion of ADH (antidiuretic hormone).
What effect can stimulants such as amphetamine and methylphenidate have on appetite?	Stimulants such as amphetamine and methylphenidate may suppress appetite.
What medical condition is often indicated by the presence of a stiff neck, fever, headache, and mental status changes?	The presence of a stiff neck, fever, headache, and mental status changes often indicate meningitis.
What medications are commonly included in STI prophylaxis regimens following a sexual assault?	STI prophylaxis regimens following a sexual assault commonly include ceftriaxone, metronidazole, and azithromycin.
What type of reaction typically leads to the development of Stevens-Johnson syndrome?	Stevens-Johnson syndrome typically arises as an adverse drug reaction.
What effect do steroids have on the production of RANK-L and osteoprotegerin?	Steroids cause high production of RANK-L and low production of osteoprotegerin.
What is suggested by the presence of psychotic symptoms in individuals taking steroids?	The presence of psychotic symptoms in individuals taking steroids is suggestive of substance-induced psychotic disorder.
What specific DNA sequences do steroid receptors bind to in order to initiate a steroid response?	Steroid receptors are specific transcription factors that bind to steroid response elements to cause a steroid response.
What are steroid hormone-receptor dimers and what is their role in DNA transcription?	Steroid hormone-receptor dimers are transcription factors that bind to steroid-response elements (SREs) of DNA and initiate transcription.
What medication or treatment may cause steroid diabetes in patients?	Steroid diabetes may be seen in patients on glucocorticoid therapy.
What is the typical next step or outcome after sternal wound drainage following cardiovascular surgery?	Sternal wound drainage after CV surgery leads to chest imaging.
What type of dementia is characterized by a step-wise decline and the presence of periventricular (lacunar) infarcts?	Step-wise decline with periventricular (lacunar) infarcts = vascular dementia.
What anatomic landmark is considered Station 0 during fetal delivery?	The ischial spine is considered Station 0 during fetal delivery.
In patients with a history of TIA, what is the effect of statins on the risk of future vascular events?	Statins reduce the risk of future vascular events in patients with a history of TIA or stroke.
What is the potential adverse effect of statins on liver function tests?	Statins may cause mild hepato-toxicity, and thus mild elevations in liver function tests.
What is the potential risk associated with the use of statins during the first trimester of pregnancy?	Statins may be teratogenic, therefore they should be avoided during the first trimester of pregnancy.
What is the effect of statins on LDL receptor expression on hepatocytes?	Statins indirectly cause increased LDL receptor expression on hepatocytes.
What is the potential biomarker of myopathy that may be elevated in serum due to the use of statins?	Statins can cause elevations in serum CK, which may be indicative of myopathy.
In which high-risk patient population may statin therapy be used to reduce the risk of cardiovascular events and mortality?	Statin therapy may be used to reduce the risk of cardiovascular events and mortality in high-risk diabetics.
What is the recommended course of action if a patient on statin therapy develops myositis or hepatitis?	If a patient on statin therapy develops myositis or hepatitis, it is recommended to stop the statin.
What medication initiation may lead to breakthrough bleeding?	Starting OCPs may lead to breakthrough bleeding.
In which anatomical locations is Staphylococcus saprophyticus a part of the normal flora in up to 10% of females?	Staphylococcus saprophyticus is part of the normal flora of the rectum and vagina in up to 10% of females.
What is the nitrate reductase status of Staphylococcus saprophyticus?	Staphylococcus saprophyticus is nitrate reductase negative.
What is the Gram stain result of Staphylococcus saprophyticus?	Staphylococcus saprophyticus is Gram positive.
What is the coagulase status of Staphylococcus saprophyticus?	Staphylococcus saprophyticus is coagulase negative.
What is the catalase status of Staphylococcus saprophyticus?	Staphylococcus saprophyticus is catalase positive.
How do Staphylococcus saprophyticus infections spread?	Staphylococcus saprophyticus infections spread via bodily fluids.
What are some examples of prosthetic devices that Staphylococcus epidermidis is known to infect?	Staphylococcus epidermidis is known to infect prosthetic devices such as prosthetic joints, indwelling urinary catheters, and prosthetic heart valves.
What is the Gram stain result for Staphylococcus epidermidis?	Staphylococcus epidermidis is Gram positive.
What is the coagulase status of Staphylococcus epidermidis?	Staphylococcus epidermidis is coagulase negative.
What is the catalase status of Staphylococcus epidermidis?	Staphylococcus epidermidis is catalase positive.
What is the normal flora location for Staphylococcus epidermidis?	Staphylococcus epidermidis is a part of normal skin flora.
What type of cultures is Staphylococcus epidermidis a common contaminant of?	Staphylococcus epidermidis is a common contaminant of blood cultures.
What type of structure does Staphylococcus epidermidis form that enables it to colonize prosthetic devices?	Staphylococcus epidermidis forms a protective biofilm that allows it to colonize prosthetic devices.
What type of hemolysis pattern does Staphylococcus aureus display?	Staphylococcus aureus displays beta-hemolysis.
What type of arthritis is Staphylococcus aureus the most common cause of in adults?	Staphylococcus aureus is the most common cause of septic arthritis in adults.
What is the gram stain result for Staphylococcus aureus?	Staphylococcus aureus is gram positive.
What is the catalase result for Staphylococcus aureus?	Staphylococcus aureus is catalase positive.
What type of infection can Staphylococcus aureus cause that may present with a patchy infiltrate on chest x-ray?	Staphylococcus aureus infection can cause pneumonia with patchy infiltrate on CXR.
What type of endocarditis does Staphylococcus aureus cause and what are the characteristics of the vegetations that it produces?	Staphylococcus aureus causes acute endocarditis, which is characterized by large vegetations that destroy the valve.
